City,Local Time,Weather,Temperature
Karachi,01.51,Haze. Warm.,26 °C
Washington DC,16.51,Passing clouds. Mild.,19 °C
Kathmandu,02.36,Passing clouds. Mild.,18 °C
Winnipeg,15.51,Mild.,19 °C
Kingston,15.51,Hot.,31 °C
Yangon,03.21,Light rain. Passing clouds. Warm.,26 °C
Kinshasa,21.51,Thunderstorms. Passing clouds. Mild.,22 °C
Zagreb,22.51,Clear. Cool.,13 °C
Kiritimati,10.51,Scattered clouds. Warm.,28 °C
Zürich,22.51,Partly cloudy. Cool.,14 °C
Kolkata,02.21,Passing clouds. Warm.,27 °C
,,,
