id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,target
11,11.72,1.93,-0.12,-3.11,-3.62,11.72,6.04,0.6,-1.11,1.72,1.09,-3.74,-0.78,-6.91,-2.81,-1.84,-7.76,6.04,-2.64,-7.76,3.94,-2.3,-3.74,1.18,-0.43,0.86,-2.81,-0.43,-3.11,1.14,-7.17,-7.17,1.93,0.83,1.46,-8.9,-3.74,1.55,-2.81,-1.08,-3.22,0.28,1.14,1.26,2.73,0.86,-3.22,-3.22,2.07,-0.48,1.09,0.86,6.04,1.41,-1.05,-3.74,-0.03,1.09,-6.91,0.29,2.73,-0.46,-1.84,-2.42,-4.62,0.4,1.72,2.73,1.55,-4.62,0.86,-6.91,-2.64,-4.62,1.93,-3.72,-2.42,1.47,1.14,-0.89,-3.62,11.72,-8.9,1.55,-6.91,1.55,-4.62,0.52,0.54,2.73,1.23,-1.84,-3.72,1.14,0.97,1.41,1.72,1.72,1.93,-3.11,14
12,5.44,2.55,4.79,9.91,1.46,5.44,13.27,4.89,0.08,3.56,-2.64,0.17,0.05,-7.94,-3.43,-5.26,9.63,13.27,1.19,9.63,12.03,-0.2,0.17,-0.66,8.7,-9.98,-3.43,8.7,9.91,-0.44,13.37,13.37,2.55,2.59,0.35,-20.04,0.17,2.74,-3.43,-0.15,-3.68,-0.29,-0.44,0.08,2.04,-9.98,-3.68,-3.68,-0.31,1.03,-2.64,-9.98,13.27,6.53,0.12,0.17,-0.12,-2.64,-7.94,-2.27,2.04,0.08,-5.26,0.34,-10.97,0.74,3.56,2.04,2.74,-10.97,-9.98,-7.94,1.19,-10.97,2.55,2.29,0.34,-1.7,-0.44,0.06,1.46,5.44,-20.04,2.74,-7.94,2.74,-10.97,1.5,-0.47,2.04,-1.01,-5.26,2.29,-0.44,-0.36,6.53,3.56,3.56,2.55,9.91,0
13,3.89,-1.76,-1.7,-5.67,0.15,3.89,-5.6,-2.24,-0.14,-0.84,-3.67,2.17,-0.53,2.31,-0.16,0.06,6.87,-5.6,0.68,6.87,-0.01,-0.34,2.17,-0.43,-0.08,2.98,-0.16,-0.08,-5.67,2.88,5.63,5.63,-1.76,-1.35,1.78,-0.09,2.17,-0.02,-0.16,0.41,0.11,-0.17,2.88,-0.09,1.86,2.98,0.11,0.11,0.53,0.73,-3.67,2.98,-5.6,-12.48,-1.63,2.17,0.1,-3.67,2.31,-0.85,1.86,-0.06,0.06,-3.19,-3.66,-2.25,-0.84,1.86,-0.02,-3.66,2.98,2.31,0.68,-3.66,-1.76,0.32,-3.19,-1.61,2.88,-0.37,0.15,3.89,-0.09,-0.02,2.31,-0.02,-3.66,-1.72,1.09,1.86,-0.66,0.06,0.32,2.88,0.95,-12.48,-0.84,-0.84,-1.76,-5.67,10
14,-0.98,3.65,-2.62,5.55,-0.01,-0.98,12.01,-2.5,-1.68,1.17,2.19,6.91,-1.13,5.93,-1.52,-1.49,-11.72,12.01,3.25,-11.72,13.11,0.52,6.91,0.12,-6.58,-6.11,-1.52,-6.58,5.55,-2.1,-8.2,-8.2,3.65,-1.81,0.88,-17.63,6.91,-1.5,-1.52,1.37,-5.12,1.49,-2.1,-0.15,0.85,-6.11,-5.12,-5.12,6.7,0.52,2.19,-6.11,12.01,-12.46,-0.22,6.91,-0.26,2.19,5.93,0.26,0.85,-0.46,-1.49,-3.62,-9.64,0.2,1.17,0.85,-1.5,-9.64,-6.11,5.93,3.25,-9.64,3.65,-3.38,-3.62,1.31,-2.1,0.23,-0.01,-0.98,-17.63,-1.5,5.93,-1.5,-9.64,1.18,-0.63,0.85,1.36,-1.49,-3.38,-2.1,1.51,-12.46,1.17,1.17,3.65,5.55,13
15,5.64,-2.3,5.21,9,1.2,5.64,0.16,-4.21,0.04,0.82,-0.62,-1.74,1.85,2.48,-2.07,1.91,12.67,0.16,-2.96,12.67,-2.98,-0.78,-1.74,-1.33,3.53,1.3,-2.07,3.53,9,-2.85,-5.05,-5.05,-2.3,1.53,-1.27,14.31,-1.74,1.91,-2.07,-1.36,3.15,0.89,-2.85,-0.69,-2.24,1.3,3.15,3.15,1.82,0.73,-0.62,1.3,0.16,5.19,0.27,-1.74,1.35,-0.62,2.48,-1.22,-2.24,-1.3,1.91,0.5,-8.13,-4.69,0.82,-2.24,1.91,-8.13,1.3,2.48,-2.96,-8.13,-2.3,-1.75,0.5,-0.57,-2.85,0.11,1.2,5.64,14.31,1.91,2.48,1.91,-8.13,2.19,1.54,-2.24,-0.07,1.91,-1.75,-2.85,2.04,5.19,0.82,0.82,-2.3,9,4
16,0.08,-3.37,2.68,0.52,-4.42,0.08,-5.66,-0.14,2.12,1.74,4.05,-4.17,0.14,-3.92,-1.71,0.41,14.89,-5.66,4.17,14.89,-3.28,0.53,-4.17,0.82,3.43,3.09,-1.71,3.43,0.52,-1.97,-5.37,-5.37,-3.37,-0.9,-0.7,19.27,-4.17,0.7,-1.71,0.83,4.35,-0.69,-1.97,0.25,-1.12,3.09,4.35,4.35,-4.47,0.03,4.05,3.09,-5.66,12.13,0.1,-4.17,0.18,4.05,-3.92,-0.5,-1.12,1.36,0.41,2.15,3.41,-6.02,1.74,-1.12,0.7,3.41,3.09,-3.92,4.17,3.41,-3.37,3.16,2.15,0.01,-1.97,-2.05,-4.42,0.08,19.27,0.7,-3.92,0.7,3.41,-0.49,1.99,-1.12,1.9,0.41,3.16,-1.97,0.09,12.13,1.74,1.74,-3.37,0.52,11
17,-0.45,-3.92,5.78,-1.3,4.18,-0.45,-19.45,-0.89,-0.09,-2.16,1.67,1,-0.29,3.27,1,-1.45,13.94,-19.45,6.74,13.94,1.59,-1.61,1,0.48,3.62,3.52,1,3.62,-1.3,2.71,9.31,9.31,-3.92,-0.64,-0.14,5.88,1,4.27,1,-1.09,-0.29,0.48,2.71,0.55,-3.09,3.52,-0.29,-0.29,1.99,0.71,1.67,3.52,-19.45,-3.46,-1.38,1,0.15,1.67,3.27,-0.41,-3.09,0.03,-1.45,-2.98,-1.48,1.98,-2.16,-3.09,4.27,-1.48,3.52,3.27,6.74,-1.48,-3.92,0.52,-2.98,-0.75,2.71,-1.81,4.18,-0.45,5.88,4.27,3.27,4.27,-1.48,-0.4,-0.18,-3.09,0.22,-1.45,0.52,2.71,-1.19,-3.46,-2.16,-2.16,-3.92,-1.3,2
18,10.59,0.14,0.46,0.3,-1.75,10.59,-2.78,-0.93,-1.32,-4.97,0.22,2.58,-1.87,-3.35,-1.12,3.07,-6.52,-2.78,-4.41,-6.52,4.22,-0.99,2.58,0.41,2.07,1.26,-1.12,2.07,0.3,-2.2,-0.57,-0.57,0.14,2.41,-0.17,-10.98,2.58,-1.53,-1.12,-0.27,-3.44,-0.03,-2.2,-0.25,-3.87,1.26,-3.44,-3.44,2.56,-1.22,0.22,1.26,-2.78,0.61,-1.07,2.58,-1.45,0.22,-3.35,-0.06,-3.87,0.77,3.07,-6.53,-5.3,3.52,-4.97,-3.87,-1.53,-5.3,1.26,-3.35,-4.41,-5.3,0.14,-1.3,-6.53,1.21,-2.2,0.56,-1.75,10.59,-10.98,-1.53,-3.35,-1.53,-5.3,1.74,-0.84,-3.87,-0.78,3.07,-1.3,-2.2,-0.37,0.61,-4.97,-4.97,0.14,0.3,12
19,4.7,-1.77,-0.04,-1.39,-4.5,4.7,-4.36,-4.8,-0.38,-0.53,2.27,2.46,-0.43,-2.93,-1.12,-1.19,5.85,-4.36,-2.2,5.85,-1.9,0.56,2.46,0.06,-1.5,4.59,-1.12,-1.5,-1.39,1.16,-5.08,-5.08,-1.77,-0.69,-1.29,5.8,2.46,-0.79,-1.12,0.74,5.82,0.41,1.16,0.66,0.55,4.59,5.82,5.82,-0.23,-0.49,2.27,4.59,-4.36,-0.89,-0.57,2.46,0.18,2.27,-2.93,1.41,0.55,-0.45,-1.19,-0.87,-8.7,-3.18,-0.53,0.55,-0.79,-8.7,4.59,-2.93,-2.2,-8.7,-1.77,-2.57,-0.87,0.04,1.16,-0.17,-4.5,4.7,5.8,-0.79,-2.93,-0.79,-8.7,-0.04,0.13,0.55,0.92,-1.19,-2.57,1.16,0.36,-0.89,-0.53,-0.53,-1.77,-1.39,11
20,-0.72,-0.28,2.29,1.57,0.84,-0.72,6.21,-2.39,-0.22,3.46,0.41,1.19,0.42,-2.08,-3.95,-0.23,1.34,6.21,-1.89,1.34,-1.15,-0.2,1.19,-0.85,1.35,-2.76,-3.95,1.35,1.57,1.77,8.75,8.75,-0.28,0.58,1.05,0.43,1.19,-0.45,-3.95,-1.02,2.51,1.52,1.77,0.06,2.76,-2.76,2.51,2.51,-3.54,0.52,0.41,-2.76,6.21,5.49,-0.21,1.19,-0.52,0.41,-2.08,-1.69,2.76,0.51,-0.23,2.59,-13.06,1.22,3.46,2.76,-0.45,-13.06,-2.76,-2.08,-1.89,-13.06,-0.28,1.79,2.59,1.41,1.77,0.43,0.84,-0.72,0.43,-0.45,-2.08,-0.45,-13.06,-0.55,0.59,2.76,-1.14,-0.23,1.79,1.77,0.09,5.49,3.46,3.46,-0.28,1.57,0
21,-2.47,0.98,1.21,-2.64,-1.18,-2.47,2.98,-1.75,0.37,1.76,-2.33,7.87,0.35,0.3,-1.2,1.73,-7.76,2.98,2.58,-7.76,13.11,0.03,7.87,-1.11,-2.72,-4.2,-1.2,-2.72,-2.64,0.59,0.47,0.47,0.98,-0.25,1.48,-8.79,7.87,-3.75,-1.2,0.92,-2.33,0.32,0.59,0.88,3.84,-4.2,-2.33,-2.33,-1.46,-1.04,-2.33,-4.2,2.98,-6.51,0.8,7.87,3.23,-2.33,0.3,1.55,3.84,-0.32,1.73,-0.92,-10.41,0.31,1.76,3.84,-3.75,-10.41,-4.2,0.3,2.58,-10.41,0.98,-0.64,-0.92,-1.07,0.59,-1.54,-1.18,-2.47,-8.79,-3.75,0.3,-3.75,-10.41,-0.88,0.63,3.84,0.16,1.73,-0.64,0.59,0.9,-6.51,1.76,1.76,0.98,-2.64,7
22,1.35,0.05,-1.69,1.24,-2.43,1.35,7.72,-2.85,-0.31,2.55,1.51,-0.8,0.16,-0.71,-1,-1.33,3.63,7.72,-0.23,3.63,-0.13,-1.57,-0.8,0.61,1.77,-1.91,-1,1.77,1.24,0.29,3.4,3.4,0.05,0.93,-1.09,-2.48,-0.8,-0.85,-1,0.1,2.72,0.21,0.29,0.48,0.04,-1.91,2.72,2.72,-1.75,-0.36,1.51,-1.91,7.72,1.07,-0.15,-0.8,0.43,1.51,-0.71,0.98,0.04,-0.58,-1.33,1.38,-2.33,-0.63,2.55,0.04,-0.85,-2.33,-1.91,-0.71,-0.23,-2.33,0.05,0.52,1.38,-0.47,0.29,0.02,-2.43,1.35,-2.48,-0.85,-0.71,-0.85,-2.33,0.94,0.83,0.04,-1.14,-1.33,0.52,0.29,-0.12,1.07,2.55,2.55,0.05,1.24,0
23,1.16,1.75,1.81,3.68,-4.53,1.16,-5.71,-1.07,1.18,-0.61,0.01,0.82,0.8,-5.64,0.05,4.38,-3.27,-5.71,0.19,-3.27,14.26,-0.08,0.82,-0.39,2.24,-0.79,0.05,2.24,3.68,0.39,-6.63,-6.63,1.75,0.71,1.02,-6.27,0.82,0.37,0.05,-1.13,-0.85,-0.75,0.39,-0.25,0,-0.79,-0.85,-0.85,3.96,1.6,0.01,-0.79,-5.71,8.53,-0.59,0.82,-0.72,0.01,-5.64,1.33,0,0.04,4.38,1.85,-5.55,0.26,-0.61,0,0.37,-5.55,-0.79,-5.64,0.19,-5.55,1.75,-1.16,1.85,-0.02,0.39,0.57,-4.53,1.16,-6.27,0.37,-5.64,0.37,-5.55,1.61,-0.91,0,-0.55,4.38,-1.16,0.39,-0.41,8.53,-0.61,-0.61,1.75,3.68,8
24,-2.51,1.49,-0.1,-6.66,1.6,-2.51,4.17,1.11,2.26,-2.42,5.94,1.31,1.76,-3.53,-0.54,-2.17,-5.64,4.17,0.84,-5.64,-2.4,1.08,1.31,-0.07,-4.77,-4.43,-0.54,-4.77,-6.66,1.98,-1.08,-1.08,1.49,2.14,0.27,3.42,1.31,-0.27,-0.54,0.33,-1.34,-1.36,1.98,0.71,0.12,-4.43,-1.34,-1.34,-2.39,0.05,5.94,-4.43,4.17,0.09,0.83,1.31,0.38,5.94,-3.53,-0.24,0.12,0.52,-2.17,0.58,-9.13,-0.9,-2.42,0.12,-0.27,-9.13,-4.43,-3.53,0.84,-9.13,1.49,2.54,0.58,-2.55,1.98,0.3,1.6,-2.51,3.42,-0.27,-3.53,-0.27,-9.13,0.42,0.05,0.12,-2.21,-2.17,2.54,1.98,-1.17,0.09,-2.42,-2.42,1.49,-6.66,0
25,2.9,3.88,-3.64,-2.01,0.07,2.9,18.86,-1.11,0.02,-4.75,-4.68,0.33,0.09,-17.21,1.84,2.06,7.87,18.86,-1.58,7.87,10.69,-0.37,0.33,-0.37,4.33,0.28,1.84,4.33,-2.01,-3.61,7.38,7.38,3.88,-0.8,0.08,-0.52,0.33,-1.52,1.84,-0.01,-4.97,-0.11,-3.61,-0.72,-4.37,0.28,-4.97,-4.97,-4.19,1.75,-4.68,0.28,18.86,-6.86,-0.06,0.33,-0.9,-4.68,-17.21,0.94,-4.37,-1.05,2.06,4.81,16.15,-1.75,-4.75,-4.37,-1.52,16.15,0.28,-17.21,-1.58,16.15,3.88,-3.94,4.81,0.24,-3.61,-0.02,0.07,2.9,-0.52,-1.52,-17.21,-1.52,16.15,-0.68,-0.45,-4.37,1.52,2.06,-3.94,-3.61,2.59,-6.86,-4.75,-4.75,3.88,-2.01,3
26,4.64,3.77,-3.04,11.89,-5.46,4.64,7.4,-1.69,0.22,-3.78,-3.76,0.61,0.62,-20.5,-5.09,-1.74,17.19,7.4,4.78,17.19,20.22,-0.66,0.61,0.18,1.67,0.39,-5.09,1.67,11.89,0.55,11.52,11.52,3.77,0.44,1.25,-14.46,0.61,0.33,-5.09,-0.8,-1.86,-0.52,0.55,-0.11,-4.44,0.39,-1.86,-1.86,1.65,-0.35,-3.76,0.39,7.4,-4.94,-1,0.61,1.4,-3.76,-20.5,-0.29,-4.44,-0.73,-1.74,7.12,10.6,0.99,-3.78,-4.44,0.33,10.6,0.39,-20.5,4.78,10.6,3.77,-2.33,7.12,0.34,0.55,-0.49,-5.46,4.64,-14.46,0.33,-20.5,0.33,10.6,1.25,-1.14,-4.44,-1.3,-1.74,-2.33,0.55,-0.4,-4.94,-3.78,-3.78,3.77,11.89,14
27,-4.72,1.76,-0.09,-11.88,-0.95,-4.72,-8.13,2.22,0.87,-2.93,1.16,-1.11,-0.56,-0.89,3.98,2.02,-5,-8.13,4.38,-5,9.82,-0.93,-1.11,1.12,1.1,-1.15,3.98,1.1,-11.88,2.35,-0.99,-0.99,1.76,-0.83,-0.03,-0.45,-1.11,-2.04,3.98,-0.6,-1.14,1.26,2.35,-1.11,1.02,-1.15,-1.14,-1.14,-2.2,-2.32,1.16,-1.15,-8.13,0.33,0.33,-1.11,-0.27,1.16,-0.89,-0.65,1.02,1.1,2.02,2.02,6.17,1.89,-2.93,1.02,-2.04,6.17,-1.15,-0.89,4.38,6.17,1.76,1.92,2.02,-1.19,2.35,0.85,-0.95,-4.72,-0.45,-2.04,-0.89,-2.04,6.17,1.13,-0.21,1.02,0.91,2.02,1.92,2.35,-0.46,0.33,-2.93,-2.93,1.76,-11.88,5
28,-1.86,-1.03,-2.6,-3.2,-1.45,-1.86,0.02,-4.97,-2.02,0.96,1.72,0.76,-0.1,2.45,-0.52,4.51,-2.94,0.02,-4.89,-2.94,-7.75,-0.91,0.76,-0.67,1.52,-0.14,-0.52,1.52,-3.2,2.34,6.41,6.41,-1.03,-0.61,0.99,2.09,0.76,-2.49,-0.52,1.7,5.06,-1.03,2.34,0.68,-0.02,-0.14,5.06,5.06,-2.34,-1.15,1.72,-0.14,0.02,5.04,-0.7,0.76,-1.59,1.72,2.45,-0.65,-0.02,0.32,4.51,0.45,-10.78,0.86,0.96,-0.02,-2.49,-10.78,-0.14,2.45,-4.89,-10.78,-1.03,3.67,0.45,-1.74,2.34,-1.05,-1.45,-1.86,2.09,-2.49,2.45,-2.49,-10.78,0.72,0.47,-0.02,0.79,4.51,3.67,2.34,0.18,5.04,0.96,0.96,-1.03,-3.2,11
29,-1.34,2.32,0.44,-16.72,4.01,-1.34,-3.94,1.24,-1.25,0.69,-1.38,-5.2,0.62,-0.22,2.45,1.75,1.38,-3.94,-0.81,1.38,-6.55,0.67,-5.2,-0.31,2.26,4.51,2.45,2.26,-16.72,6.75,3.06,3.06,2.32,0.09,-2.09,0.65,-5.2,-0.06,2.45,-0.3,-1.58,-0.38,6.75,-0.38,0.46,4.51,-1.58,-1.58,1.07,0.7,-1.38,4.51,-3.94,-7.12,-0.74,-5.2,0.75,-1.38,-0.22,0.3,0.46,-0.39,1.75,-2.28,-1.03,-2.73,0.69,0.46,-0.06,-1.03,4.51,-0.22,-0.81,-1.03,2.32,1.37,-2.28,0.51,6.75,-0.67,4.01,-1.34,0.65,-0.06,-0.22,-0.06,-1.03,-0.02,-0.26,0.46,0.43,1.75,1.37,6.75,-0.68,-7.12,0.69,0.69,2.32,-16.72,2
