City,Local Time,Weather,Temperature
Prague,17.04,Passing clouds. Chilly.,-3 °C
Caracas,12.04,Passing clouds. Warm.,31 °C
Reykjavik,16.04,Broken clouds. Chilly.,3 °C
Casablanca,17.04,Sunny. Mild.,18 °C
Rio de Janeiro,13.04,Passing clouds. Warm.,29 °C
Chicago,10.04,Scattered clouds. Chilly.,4 °C
Riyadh,19.04,Clear. Mild.,22 °C
Copenhagen,17.04,Passing clouds. Chilly.,4 °C
Rome,17.04,Passing clouds. Cool.,10 °C
Dallas,10.04,Passing clouds. Cool.,13 °C
Salt Lake City,09.04,Broken clouds. Chilly.,2 °C
Darwin,01.34,Mostly cloudy. Warm.,26 °C
San Francisco,08.04,Sunny. Cool.,9 °C
Denver,09.04,Passing clouds. Chilly.,4 °C
San Juan,12.04,Scattered clouds. Warm.,29 °C
Detroit,11.04,Sunny. Quite cool.,5 °C
San Salvador,10.04,Passing clouds. Warm.,25 °C
Dhaka,22.04,Clear. Mild.,22 °C
Santiago,13.04,Passing clouds. Pleasantly warm.,28 °C
Doha,19.04,Clear. Warm.,25 °C
Santo Domingo,12.04,Scattered clouds. Warm.,28 °C
Dubai,20.04,Passing clouds. Warm.,28 °C
São Paulo,13.04,Scattered clouds. Warm.,27 °C
Dublin,16.04,Scattered clouds. Cool.,8 °C
Seattle,08.04,Mostly cloudy. Cool.,11 °C
Edmonton,09.04,Partly cloudy. Chilly.,-1 °C
Seoul,01.04,Clear. Quite cool.,5 °C
Frankfurt,17.04,Sunny. Chilly.,-1 °C
Shanghai,00.04,Clear. Cool.,11 °C
Guatemala City,10.04,Passing clouds. Mild.,20 °C
Singapore,00.04,Light rain. Passing clouds. Mild.,24 °C
Halifax,12.04,More clouds than sun. Quite cool.,7 °C
Sofia,18.04,Passing clouds. Cool.,16 °C
Hanoi,23.04,Clear. Mild.,20 °C
St. John's,12.34,Drizzle. Fog. Quite cool.,6 °C
Harare,18.04,Scattered clouds. Warm.,26 °C
Stockholm,17.04,Passing clouds. Chilly.,3 °C
Havana,11.04,Passing clouds. Warm.,26 °C
Suva,04.04,Passing clouds. Mild.,24 °C
Helsinki,18.04,Sprinkles. Passing clouds. Chilly.,2 °C
Sydney,03.04,Low clouds. Mild.,19 °C
Hong Kong,00.04,Passing clouds. Mild.,21 °C
Taipei,00.04,Passing clouds. Mild.,21 °C
Honolulu,06.04,Passing clouds. Mild.,24 °C
Tallinn,18.04,Clear. Chilly.,0 °C
Houston,10.04,Broken clouds. Mild.,23 °C
Tashkent,21.04,Fog. Cool.,8 °C
Indianapolis,11.04,Passing clouds. Chilly.,4 °C
Tegucigalpa,10.04,Partly sunny. Mild.,21 °C
Islamabad,21.04,Clear. Cool.,14 °C
Tehran,19.34,Haze. Refreshingly cool.,13 °C
Istanbul,19.04,Passing clouds. Mild.,20 °C
Tokyo,01.04,Cool.,13 °C
Jakarta,23.04,Passing clouds. Warm.,26 °C
Toronto,11.04,Partly sunny. Chilly.,4 °C
Jerusalem,18.04,Mild.,23 °C
Vancouver,08.04,Light rain. Mostly cloudy. Cool.,10 °C
Johannesburg,18.04,Thunderstorms. Partly sunny. Warm.,25 °C
Vienna,17.04,Partly cloudy. Chilly.,1 °C
Karachi,21.04,Haze. Mild.,23 °C
Warsaw,17.04,Clear. Chilly.,2 °C
Kathmandu,21.49,Passing clouds. Cool.,13 °C
Washington DC,11.04,Mostly cloudy. Cool.,12 °C
Kingston,11.04,Warm.,30 °C
Winnipeg,10.04,Chilly.,2 °C
Kinshasa,17.04,Thunderstorms. Partly sunny. Mild.,24 °C
Yangon,22.34,Passing clouds. Warm.,27 °C
Kiritimati,06.04,Passing clouds. Warm.,25 °C
Zagreb,17.04,Light snow. Mostly cloudy. Chilly.,0 °C
Kolkata,21.34,Haze. Mild.,23 °C
Zürich,17.04,Haze. Chilly.,-1 °C
Kuala Lumpur,00.04,Passing clouds. Warm.,28 °C
,,,
